1.10447,1.10447,0.993
1.4762,1.4762,2.25
2.35749,2.35749,1.738
1.24486,1.24486,1.033
1.27563,1.27563,1.708
2.69323,2.69323,2.964
2.84338,2.84338,2.719
1.10231,1.10231,1.635
1.61871,1.61871,1.726
1.72274,1.72274,1.539
1.4299,1.4299,0.92
4.94085,4.94085,5.00001
0.868056,0.868056,1.125
0.855397,0.855397,0.719
0.830666,0.830666,0.567
2.68305,2.68305,2.799
2.00568,2.00568,1.696
1.35168,1.35168,1.421
1.36099,1.36099,1.869
2.35523,2.35523,1.719
2.62819,2.62819,2.556
2.29981,2.29981,1.292
1.90019,1.90019,1.976
1.90096,1.90096,1.569
1.50877,1.50877,1.339
1.78628,1.78628,1.076
1.40642,1.40642,1.299
2.83426,2.83426,2.698
1.50836,1.50836,1.625
3.75001,3.75001,4.629
1.90398,1.90398,1.577
1.78426,1.78426,1.475
1.60595,1.60595,4.5
2.13073,2.13073,1.726
1.80744,1.80744,1.748
2.00401,2.00401,1.838
3.50822,3.50822,2.276
1.17227,1.17227,1.079
3.62504,3.62504,4.578
1.68298,1.68298,1.158
1.17109,1.17109,1.32
1.30984,1.30984,1.375
1.5114,1.5114,1.372
1.37307,1.37307,0.985
1.44641,1.44641,2
2.59248,2.59248,3.782
1.10697,1.10697,0.847
0.942157,0.942157,1.05
3.62448,3.62448,3.337
2.51437,2.51437,1.911
1.56722,1.56722,1.611
1.6996,1.6996,1.828
1.47414,1.47414,1.372
1.25544,1.25544,0.698
1.24083,1.24083,1.392
2.11479,2.11479,3.5
1.42302,1.42302,1.5
1.3057,1.3057,2
1.35989,1.35989,2.75
1.5913,1.5913,1.324
1.24202,1.24202,1
2.89382,2.89382,1.866
3.46159,3.46159,3.473
1.1243,1.1243,1.582
0.810199,0.810199,0.875
2.2762,2.2762,2.491
1.71076,1.71076,2.187
1.27154,1.27154,0.901
1.3502,1.3502,1.225
1.55189,1.55189,1.235
1.29539,1.29539,0.989
0.911998,0.911998,0.84
1.28775,1.28775,0.958
1.41836,1.41836,1.399
1.25076,1.25076,1.428
1.26152,1.26152,1.143
1.72168,1.72168,1.548
2.32492,2.32492,2.202
